School,Gender,Age,Victim_of_cyberstalking,Social_media_cyberstalking,Form_of_harassment,Know_the_stalker,Social_media_communication,Cyberstalking_frequency,Get_rid_of_the_cyberstalker,You_harassed_someone,Cyberstalking_purpose,Cyberstalking_achieving_goal,Cyberstalking_pleasure,Criminal_offense
1,1,17,0,,,,,,,0,,,,1
1,1,17,0,,,,,,,0,,,,1
1,1,17,0,,,,,,,0,,,,1
1,0,17,1,Instagram,Posting false information,No,1,Daily,1,0,,,,0
1,0,18,1,Instagram,Posting false information,No,1,,1,0,,,,1
1,1,17,0,,,,,,,0,,,,1
1,1,17,0,,,,,,,0,,,,1
1,1,17,1,Instagram,Threatened in chat rooms or comments,No,1,2-3 Months,1,0,,,,1
1,1,17,0,,,,,,,0,,,,1
1,0,15,1,Instagram,Threatened in chat rooms or comments,Other,1,Hourly,1,0,,,,1
1,0,15,1,Snapchat,Posting false information,No,1,2-3 Months,0,1,Personal issues,1,0,1
1,1,17,0,,,,,,,0,,,,1
1,0,17,0,,,,,,,0,,,,1
1,1,17,1,Instagram,Threatened in chat rooms or comments,No,0,,1,0,,,,1
1,0,15,0,,,,,,,0,,,,0
1,1,15,0,,,,,,,0,,,,1
1,1,15,0,,,,,,,1,Personal issues,1,1,0
1,1,16,1,Snapchat,Posting false information,Friend,1,Hourly,0,1,For gossip in group chats,1,1,0
1,0,15,0,,,,,,,1,Other,1,1,1
1,0,15,0,,,,,,,1,For gossip in group chats,1,1,0
1,1,15,0,,,,,,,1,Personal issues,1,1,0
1,1,15,0,,,,,,,1,Personal issues,1,1,0
1,0,15,0,,,,,,,1,Other,1,1,0
1,1,15,0,,,,,,,0,,,,0
1,0,15,0,,,,,,,1,Other,0,0,1
1,0,17,1,Instagram,Any other behavior founded distressing in any way,Friend,1,Daily,1,0,,,,0
1,0,17,1,Instagram,Any other behavior founded distressing in any way,Friend,1,Hourly,1,0,,,,1
1,1,17,1,"Instagram, Snapchat",Threatened in chat rooms or comments,No,1,2-3 Months,1,1,For gossip in group chats,0,1,1
1,0,15,0,,,,,,,0,,,,
1,0,15,0,,,,,,,0,,,,0
1,0,16,1,"Instagram, Snapchat",Any other behavior founded distressing in any way,Other,0,,1,0,,,,
1,1,15,0,,,,,,,0,,,,1
1,1,15,0,,,,,,,0,,,,1
1,0,15,0,,,,,,,0,,,,0
1,1,15,0,,,,,,,0,,,,1
1,1,14,0,,,,,,,0,,,,0
1,1,16,0,,,,,,,0,,,,1
1,1,17,0,,,,,,,0,,,,1
1,1,17,0,,,,,,,0,,,,1
1,0,18,0,,,,,,,0,,,,1
1,1,17,0,,,,,,,0,,,,0
1,0,18,1,Instagram,Posting false information,Other,0,,1,0,,,,1
1,0,17,0,,,,,,,0,,,,0
1,0,17,0,,,,,,,0,,,,1
1,0,17,1,Instagram,Threatened in chat rooms or comments,No,1,2-3 Months,1,0,,,,1
1,0,17,0,,,,,,,0,,,,1
1,1,17,0,,,,,,,1,Other,1,1,1
1,1,18,0,,,,,,,0,,,,1
1,1,17,1,Instagram,Posting false information,No,1,Monthly,1,0,,,,0
1,1,18,1,Instagram,Threatening or abusive emails,No,1,Daily,1,0,,,,1
2,1,17,0,Facebook,Ordered goods online with other person data,No,0,Monthly,0,1,Other,1,1,1
1,0,17,0,,,,,,,0,,,,0
1,0,17,0,,,,,,,1,Other,0,0,1
1,0,17,1,"Instagram, Snapchat",Any other behavior founded distressing in any way,Friend,1,Daily,1,1,For gossip in group chats,1,1,1
1,0,17,0,,,,,,,0,,,,0
2,1,17,1,Snapchat,Posting false information,No,0,,1,1,Other,0,0,0
1,0,17,1,"Instagram, Snapchat",Any other behavior founded distressing in any way,No,0,,1,1,For gossip in group chats,1,1,0
1,0,17,0,,,,,,,1,For gossip in group chats,0,0,0
1,0,16,0,,,,,,,0,,,,0
1,0,17,0,,,,,,,0,,,,1
1,0,16,1,Instagram,Threatened in chat rooms or comments,No,1,Weekly,1,0,,,,0
1,0,17,1,Instagram,Threatened in chat rooms or comments,No,1,Daily,1,0,,,,0
2,1,17,1,Facebook,Threatening or abusive emails,Other,1,2-3 Months,1,1,Being harassed earlier,1,1,0
2,1,17,1,Snapchat,Posting false information,Ex-Partner,1,Daily,1,1,Other,0,0,1
2,1,17,1,Instagram,Posting false information,Friend,1,2-3 Months,1,1,For gossip in group chats,1,1,0
1,0,17,1,Instagram,Threatening or abusive emails,Other,1,Monthly,1,1,For gossip in group chats,0,0,1
2,1,17,1,Facebook,Posting false information,No,0,,1,0,,,,1
1,0,16,1,"Facebook, Other",Posting false information,Friend,1,Monthly,1,0,,,,1
1,0,17,1,Other,Any other behavior founded distressing in any way,No,0,,0,0,,,,1
2,1,17,1,Facebook,Posting false information,No,0,,1,1,Other,0,0,0
1,0,17,1,Snapchat,Any other behavior founded distressing in any way,No,1,2-3 Months,1,0,,,,1
2,1,17,1,Instagram,Posting false information,No,0,,1,0,,,,1
2,1,16,1,Instagram,Posting false information,Friend,1,2-3 Months,1,1,Being harassed earlier,0,1,0
1,0,16,1,Snapchat,Any other behavior founded distressing in any way,Other,0,Hourly,0,1,Other,0,0,0
2,1,16,1,Instagram,Any other behavior founded distressing in any way,No,1,2-3 Months,1,0,,,,0
2,1,16,1,Instagram,Any other behavior founded distressing in any way,Other,1,2-3 Months,1,0,,,,1
1,0,17,1,Snapchat,Posting false information,No,1,Hourly,1,1,Being harassed earlier,0,1,0
2,1,17,0,,,,,,,0,,,,0
1,0,17,1,Snapchat,Threatened in chat rooms or comments,No,0,,1,0,,,,1
3,0,17,0,,,,,,,0,,,,1
3,0,17,0,,,,,,,0,,,,1
2,1,17,0,,,,,,,0,,,,1
2,1,17,1,"Instagram, Snapchat",Any other behavior founded distressing in any way,"Ex-Partner, Other",1,Hourly,1,1,Other,1,0,0
2,1,17,0,,,,,,,0,,,,1
3,0,17,1,Other,Any other behavior founded distressing in any way,No,0,Monthly,0,1,Personal Issues,1,1,1
3,0,17,0,,,,,,,0,,,,1
2,1,17,0,,,,,,,0,,,,1
2,1,16,1,Instagram,Posting false information,No,1,2-3 Months,1,0,,,,1
2,1,17,1,Instagram,Any other behavior founded distressing in any way,No,1,2-3 Months,1,0,,,,1
3,1,17,0,,,,,,,1,Personal Issues,1,0,0
2,0,17,0,,,,,,,0,,,,0
2,0,17,0,,,,,,,0,,,,0
3,1,17,0,,,,,,,1,Other,1,1,1
3,1,16,0,,,,,,,0,,,,1
2,0,17,1,Instagram,Threatened in chat rooms or comments,No,1,Weekly,1,1,For gossip in group chats,1,1,1
2,0,17,0,,,,,,,0,,,,1
3,1,17,1,Other,Threatening or abusive emails,No,0,,0,1,Other,0,0,1
2,0,16,1,Instagram,"Posting false information, Any other behaviour founded distressing in any way",No,0,,1,1,Other,0,0,1
2,0,17,1,,Any other behavior founded distressing in any way,No,0,,1,1,Other,0,0,1
2,0,16,1,Instagram,"Posting false information, Any other behaviour founded distressing in any way",Other,0,,1,1,Personal Issues,0,0,1
2,0,17,0,,,,,,,0,,,,1
3,1,17,1,"Facebook, Twitter, Other(Discord)","Threatening or abusive emails, Threatened in chat rooms or comments, Posted false information",Other,1,Weekly,1,1,Personal Issues,1,1,1
2,0,17,1,Snapchat,Any other behavior founded distressing in any way,Friend,1,Weekly,1,1,For gossip in group chats,0,0,1
2,0,17,0,,,,,,,1,Other,1,0,1
3,1,17,1,"Instagram, Snapchat","Threatened in chat rooms or comments, Ordered goods online in your name",Ex-Partner,1,2-3 Months,1,0,,,,1
2,0,17,1,Snapchat,Threatened in chat rooms or comments,No,0,Weekly,1,1,Being harassed earlier,0,0,0
2,0,17,1,Facebook,Posting false information,Friend,1,,1,1,For gossip in group chats,1,0,0
2,0,17,1,Instagram,Ordered goods online with other person data,Other,1,Weekly,1,1,For gossip in group chats,1,1,1
2,0,17,1,Snapchat,Threatened in chat rooms or comments,No,1,Weekly,1,1,Personal Issues,0,0,0
3,0,17,1,Instagram,Threatened in chat rooms or comments,No,1,Weekly,1,1,Personal Issues,0,0,1
3,1,17,1,Snapchat,Posting false information,No,1,Weekly,1,1,Personal Issues,0,0,1
3,1,17,1,Instagram,Threatened in chat rooms or comments,Other,0,,1,1,Being harassed earlier,0,0,1
3,1,17,0,,,,,,,1,For gossip in group chats,1,0,0
3,0,17,1,"Facebook, Instagram",Any other behavior founded distressing in any way,No,0,,1,1,For gossip in group chats,1,1,1
3,0,17,0,,,,,,,1,Other,1,0,1
3,1,17,1,Instagram,Any other behavior founded distressing in any way,No,1,Daily,0,1,Other,0,0,1
3,0,17,1,"Facebook, Instagram","Threatened in chat rooms or comments, Posted false information",Other,0,,1,1,Other,1,0,0
3,1,18,0,,,,,,,0,,,,1
3,0,17,0,,,,,,,1,For gossip in group chats,1,0,1
3,0,17,1,Instagram,Posting false information,Ex-partner,1,Daily,1,1,For gossip in group chats,1,0,1
3,1,17,0,,,,,,,1,Personal Issues,1,0,1
3,1,17,0,,,,,,,0,,,,1
3,0,17,1,Instagram,Any other behavior founded distressing in any way,Other,0,,1,1,For gossip in group chats,1,1,1
3,1,17,0,,,,,,,1,Personal Issues,1,1,1
3,1,17,0,,,,,,,0,,,,1
3,0,17,0,,,,,,,0,,,,0
3,0,17,1,Other,Threatening or abusive emails,No,0,,1,0,,,,0
3,0,17,0,,,,,,,1,Personal issues,1,1,1
3,1,17,0,,,,,,,0,,,,0
3,1,17,1,Other,Ordered goods online with other person data,Friend,0,,1,0,,,,1
3,1,18,0,,,,,,,0,,,,1
3,0,17,0,,,,,,,0,,,,0
3,0,17,1,Snapchat,Posting false information,Friend,1,Daily,1,0,,,,0
3,0,17,1,Snapchat,Posting false information,Ex-partner,0,,1,0,,,,1
3,0,17,1,Instagram,Posting false information,Other,0,,1,1,Being harassed earlier,1,0,1
3,1,17,0,,,,,,,1,Personal Issues,1,0,0
3,1,17,0,,,,,,,0,,,,1
3,1,17,0,,,,,,,0,,,,1
3,1,17,0,,,,,,,0,,,,0
3,0,17,0,,,,,,,1,For gossip in group chats,1,0,0
3,0,17,1,Facebook,Threatened in chat rooms or comments,Ex-partner,1,Weekly,1,1,Personal Issues,1,1,1
3,1,17,0,,,,,,,0,,,,1
